userName,content,score,thumbsUpCount,at
ila kheyr,"Jujur, banyak pengguna sudah mengeluhkan masalah iklan ini selama sangat lama, tetapi sampai sekarang rasanya belum ada perubahan yang berarti. Tolong jangan mengabaikan keluhan pengguna. Iklan yang dibuat sulit ditutup, tombol X yang kecil atau terlambat muncul, serta iklan yang mudah terbuka karena salah sentuh justru membuat pengguna merasa dipaksa, bukan dilayani. Kalau memang ingin pengguna tetap betah menggunakan aplikasi, dengarkan keluhan yang sudah berulang kali disampaikan.",5,67,2026-07-01 20:56:14
chelyna rahmaika c,kalo bikin iklan gedein tanda x nya,1,0,2026-07-01 20:55:06
Lowkeyツ,"apk nya sih bagus tapi kalau buat layanan kurir dan barang kaya spx nya bintang 1 kalah ada bintang minus gua kasih bintang -5, parah banget pada ilang yang sisa yang nilai barang nya udah jelek karena di banting banting mereka sendiri harusnya yang datang 14 item yang datang real cuma 2 mana yang satu rusak parah, tolong benerin dong layanan nyaa. kalau bisa ganti rugi juga badan gua",1,0,2026-07-01 20:53:52
Nur Melati,iklan terlalu over.,1,0,2026-07-01 20:53:14
Latifa Nur Aini,"SUMPAH YA INI APLIKASI LEBAY BGT IKLANNYA GA DIPENCET TETEP PINDAH SENDIRI, NYEBELIN BGT COYYY",1,0,2026-07-01 20:53:06
Uyu Sutisna,apk nya bagus bisa dibpercaya,5,0,2026-07-01 20:50:42
Selvi Kusumadewi,"aplikasi nya sering nge bug, kalo lagi buka game iklan nya shopee sering muncul dan maksa banget buat di download",1,0,2026-07-01 20:49:33
a nur chozin syam,Aplikasi belanja online yg lengkap bersaing dan profesional,5,0,2026-07-01 20:49:15
Zouy Zouy,"kenapa ikllan shopee selalu panjang durasinya dan lama, sangat menyebalkan, setiap kali saya membuka aplikasi, entah iitu youtub entah itu apklikasi apapun itu, ketika muncul iklan shopee udah pasti bikin kesel, karna iklanya paling lama durasinya, satu saran dari saya, tolong iklan shopee jangan terlalu panjang durasinya, karna sangat menyebalkan ,",5,0,2026-07-01 20:45:12
Riska Saputri,aplikasi ini sangat memuaskan,5,0,2026-07-01 20:43:20
e_naylaa,"Akun google tiba2 keluar sendiri, terus koin nya juga malah berkurang. bego bego😌. apa gara2 apk ciptaan dari negara sebelah yang buat Indonesia krisis rupiah",2,0,2026-07-01 20:42:17
Amir Mahmud DICGWarehouse,Aplikasi yang sangat membantu,5,0,2026-07-01 20:41:36
Kariza Jayanti,"aplikasi belanja yg simple dan komplit, nmun agak pelit voucher diskon hee",5,0,2026-07-01 20:40:00
Echo itu Sae,kode Verifikasi sangat lama untuk kirim ke email,3,0,2026-07-01 20:39:22
Nopianti Nopianti,ni aplikasi Napa dah da orang lagi ngedit iklan muncul pas la kepencet mala terdownload,1,0,2026-07-01 20:38:45
